week_ending,sex,age_band,observed_deaths,edition_year,is_final,source_filename
2013-11-22,All people,1-14,18,2013,False,2013_publishedweek2013.xls
2013-11-29,All people,1-14,23,2013,False,2013_publishedweek2013.xls
2013-12-06,All people,1-14,23,2013,False,2013_publishedweek2013.xls
2013-12-13,All people,1-14,19,2013,False,2013_publishedweek2013.xls
2013-12-20,All people,1-14,27,2013,False,2013_publishedweek2013.xls
2013-12-27,All people,1-14,13,2013,False,2013_publishedweek2013.xls
2014-01-03,All people,1-14,16,2014,False,2014_publishedweek2014.xls
2014-01-10,All people,1-14,25,2014,False,2014_publishedweek2014.xls
2014-01-17,All people,1-14,15,2014,False,2014_publishedweek2014.xls
2014-01-24,All people,1-14,18,2014,False,2014_publishedweek2014.xls
2014-01-31,All people,1-14,21,2014,False,2014_publishedweek2014.xls
2014-02-07,All people,1-14,24,2014,False,2014_publishedweek2014.xls
2014-02-14,All people,1-14,27,2014,False,2014_publishedweek2014.xls
2014-02-21,All people,1-14,28,2014,False,2014_publishedweek2014.xls
2014-02-28,All people,1-14,22,2014,False,2014_publishedweek2014.xls
2014-03-07,All people,1-14,20,2014,False,2014_publishedweek2014.xls
2014-03-14,All people,1-14,26,2014,False,2014_publishedweek2014.xls
2014-03-21,All people,1-14,15,2014,False,2014_publishedweek2014.xls
2014-03-28,All people,1-14,19,2014,False,2014_publishedweek2014.xls
2014-04-04,All people,1-14,18,2014,False,2014_publishedweek2014.xls
2014-04-11,All people,1-14,23,2014,False,2014_publishedweek2014.xls
2014-04-18,All people,1-14,18,2014,False,2014_publishedweek2014.xls
2014-04-25,All people,1-14,20,2014,False,2014_publishedweek2014.xls
2014-05-02,All people,1-14,23,2014,False,2014_publishedweek2014.xls
2014-05-09,All people,1-14,17,2014,False,2014_publishedweek2014.xls
2014-05-16,All people,1-14,20,2014,False,2014_publishedweek2014.xls
2014-05-23,All people,1-14,17,2014,False,2014_publishedweek2014.xls
2014-05-30,All people,1-14,21,2014,False,2014_publishedweek2014.xls
2014-06-06,All people,1-14,32,2014,False,2014_publishedweek2014.xls
2014-06-13,All people,1-14,22,2014,False,2014_publishedweek2014.xls
2014-06-20,All people,1-14,15,2014,False,2014_publishedweek2014.xls
2014-06-27,All people,1-14,17,2014,False,2014_publishedweek2014.xls
2014-07-04,All people,1-14,26,2014,False,2014_publishedweek2014.xls
2014-07-11,All people,1-14,32,2014,False,2014_publishedweek2014.xls
2014-07-18,All people,1-14,24,2014,False,2014_publishedweek2014.xls
2014-07-25,All people,1-14,19,2014,False,2014_publishedweek2014.xls
2014-08-01,All people,1-14,20,2014,False,2014_publishedweek2014.xls
2014-08-08,All people,1-14,22,2014,False,2014_publishedweek2014.xls
2014-08-15,All people,1-14,18,2014,False,2014_publishedweek2014.xls
2014-08-22,All people,1-14,15,2014,False,2014_publishedweek2014.xls
2014-08-29,All people,1-14,15,2014,False,2014_publishedweek2014.xls
2014-09-05,All people,1-14,13,2014,False,2014_publishedweek2014.xls
2014-09-12,All people,1-14,23,2014,False,2014_publishedweek2014.xls
2014-09-19,All people,1-14,13,2014,False,2014_publishedweek2014.xls
